Team,Name,Position,GP,G,A,PTS,PIM
Colby College Statistics and History,23,Jayden Mullens,D,21,0,3,3
Colby College Statistics and History,9,Max Abene,F,6,1,1,2
Colby College Statistics and History,7,Clay Korpi,D,19,1,1,2
Colby College Statistics and History,2,Daniel Juzych,D,2,1,0,1
Colby College Statistics and History,25,Derek Hessinger,D,5,1,0,1
Colby College Statistics and History,43,Reese Farrell,F,14,1,0,1
Colby College Statistics and History,27,Connor Gallagher,D,7,0,1,1
Colby College Statistics and History,16,Cody Hoban,F,1,0,0,0
Colby College Statistics and History,35,Edward Baliotti,G,1,0,0,0
Colby College Statistics and History,31,Adam Costley,G,2,0,0,0
Colby College Statistics and History,15,Bobby Falvey,D,4,0,0,0
Colby College Statistics and History,29,Ryan Moore,D,8,0,0,0
Colby College Statistics and History,33,Andy Beran,G,24,0,0,0
Colby College Statistics and History,,Totals,68,102,170,242,
Colgate University Statistics and History,17,Ross Mitton,R,34,11,19,30
Colgate University Statistics and History,12,Daniel Panetta,C,36,13,16,29
Colgate University Statistics and History,29,Brett Chorske,C,35,7,20,27
Colgate University Statistics and History,7,Simon Labelle,L,36,7,20,27
Colgate University Statistics and History,19,Ryan McGuire,C,34,14,12,26
Colgate University Statistics and History,25,Thomas Bergsland,D,36,5,21,26
Colgate University Statistics and History,28,Alex DiPaolo,F,26,12,11,23
Colgate University Statistics and History,27,Nick Anderson,D,36,2,19,21
Colgate University Statistics and History,14,Ethan Manderville,C,36,9,10,19
Colgate University Statistics and History,24,Jake Schneider,R,35,9,9,18
Colgate University Statistics and History,2,Pierson Brandon,D,34,5,10,15
Colgate University Statistics and History,16,Ryan Sullivan,F,35,6,7,13
Colgate University Statistics and History,4,Reid Irwin,D,36,3,10,13
Colgate University Statistics and History,18,Ben Raymond,F,35,4,7,11
Colgate University Statistics and History,15,Dominic Foglia,D,24,2,4,6
Colgate University Statistics and History,20,Levi Glasman,L,33,1,5,6
Colgate University Statistics and History,9,Nic Belpedio,D,9,3,2,5
Colgate University Statistics and History,13,Sebastian Tamburro,L,13,1,4,5
Colgate University Statistics and History,11,Niko Rexine,R,31,2,2,4
Colgate University Statistics and History,6,Bobby Metz,D,36,2,2,4
Colgate University Statistics and History,22,Robby Newton,F,36,2,1,3
Colgate University Statistics and History,37,Carter Gylander,G,32,0,1,1
Colgate University Statistics and History,35,Nick Haas,G,1,0,0,0
Colgate University Statistics and History,1,Andrew Takacs,G,3,0,0,0
Colgate University Statistics and History,23,Owen Neuharth,F,12,0,0,0
Colgate University Statistics and History,,Totals,120,212,332,299,
Colorado College Statistics and History,26,Noah Laba,F,36,20,17,37
Colorado College Statistics and History,28,Gleb Veremyev,F,37,15,13,28
Colorado College Statistics and History,2,Zaccharya Wisdom,R,33,10,10,20
Colorado College Statistics and History,8,Ryan Beck,F,34,3,17,20
Colorado College Statistics and History,19,Evan Werner,F,37,6,13,19
Colorado College Statistics and History,20,Logan Will,F,37,7,11,18
Colorado College Statistics and History,37,Nicklas Andrews,D,37,3,14,17
Colorado College Statistics and History,4,Max Burkholder,D,37,7,9,16
Colorado College Statistics and History,7,Chase Foley,D,32,2,14,16
Colorado College Statistics and History,10,Bret Link,F,35,4,11,15
Colorado College Statistics and History,27,Stanley Cooley,F,37,5,9,14
Colorado College Statistics and History,5,Jack Millar,D,37,4,8,12
Colorado College Statistics and History,29,Drew Montgomery,F,35,5,5,10
Colorado College Statistics and History,24,Klavs Veinbergs,L,19,4,6,10
Colorado College Statistics and History,12,Thomas Middleton,F,36,4,4,8
Colorado College Statistics and History,11,Ray Christy,F,36,2,5,7
Colorado College Statistics and History,17,Tyler Coffey,L,24,5,0,5
Colorado College Statistics and History,23,Ethan Straky,D,37,2,3,5
Colorado College Statistics and History,18,Connor Mayer,D,37,0,5,5
Colorado College Statistics and History,25,Riley Stuart,F,19,1,2,3
Colorado College Statistics and History,39,Danny Weight,L,6,1,0,1
Colorado College Statistics and History,21,Tyler Dunbar,D,17,1,0,1
Colorado College Statistics and History,15,Antonio Fernandez,F,2,0,0,0
Colorado College Statistics and History,31,Henry Wilder,G,3,0,0,0
Colorado College Statistics and History,9,Noah Serdachny,C,5,0,0,0
Colorado College Statistics and History,30,Kaidan Mbereko,G,37,0,0,0
Colorado College Statistics and History,,Totals,111,176,287,353,
Cornell University Statistics and History,16,Gabriel Seger,F,35,14,30,44
Cornell University Statistics and History,17,Dalton Bancroft,F,34,12,19,31
Cornell University Statistics and History,22,Kyle Penney,F,35,10,18,28
Cornell University Statistics and History,38,Jonathan Castagna,C,35,11,14,25
Cornell University Statistics and History,21,Ben Robertson,D,35,5,18,23
Cornell University Statistics and History,14,Ryan Walsh,F,35,12,10,22
Cornell University Statistics and History,26,Ondrej Psenicka,F,35,9,12,21
Cornell University Statistics and History,19,Sullivan Mack,F,29,7,10,17
Cornell University Statistics and History,9,Jack O'Leary,R,35,7,8,15
Cornell University Statistics and History,28,Nick DeSantis,F,35,8,6,14
Cornell University Statistics and History,10,Jacob Kraft,F,34,4,9,13
Cornell University Statistics and History,5,Hoyt Stanley,D,35,2,8,10
Cornell University Statistics and History,12,Tim Rego,D,35,2,8,10
Cornell University Statistics and History,8,Luke Devlin,C,28,6,2,8
Cornell University Statistics and History,4,Hank Kempf,D,35,1,7,8
Cornell University Statistics and History,6,George Fegaras,D,33,3,4,7
Cornell University Statistics and History,15,Tyler Catalano,F,24,1,4,5
Cornell University Statistics and History,27,Michael Suda,D,32,0,5,5
Cornell University Statistics and History,23,Winter Wallace,F,24,1,1,2
Cornell University Statistics and History,18,Kyler Kovich,L,7,0,1,1
Cornell University Statistics and History,13,Marian Mosko,D,11,0,1,1
Cornell University Statistics and History,34,Ryan Mcinchak,G,1,0,0,0
Cornell University Statistics and History,33,Remington Keopple,G,2,0,0,0
Cornell University Statistics and History,3,Jack O'Brien,D,9,0,0,0
Cornell University Statistics and History,11,Sean Donaldson,L,10,0,0,0
Cornell University Statistics and History,30,Ian Shane,G,34,0,0,0
Cornell University Statistics and History,,Totals,115,195,310,293,
Dartmouth College Statistics and History,28,Luke Haymes,F,31,18,18,36
Dartmouth College Statistics and History,20,"Robert ""Cooper"" Flinton",L,30,15,10,25
Dartmouth College Statistics and History,4,C.J. Foley,D,32,5,15,20
Dartmouth College Statistics and History,7,Nikita Nikora,F,25,3,17,20
Dartmouth College Statistics and History,19,Sean Chisholm,F,28,8,9,17
Dartmouth College Statistics and History,17,Braiden Dorfman,F,29,8,9,17
Dartmouth College Statistics and History,3,John Fusco,D,32,7,10,17
Dartmouth College Statistics and History,8,Joey Musa,F,32,6,11,17
Dartmouth College Statistics and History,15,Cam MacDonald,R,31,4,9,13
Dartmouth College Statistics and History,2,Eric Charpentier,D,32,4,7,11
Dartmouth College Statistics and History,6,Matt Fusco,D,28,3,8,11
Dartmouth College Statistics and History,23,Ian Pierce,D,21,2,9,11
Dartmouth College Statistics and History,5,Tucker McRae,D,27,3,4,7
Dartmouth College Statistics and History,14,Steven Townley,C,32,2,4,6
Dartmouth College Statistics and History,68,Nathan Morgan,F,28,1,4,5
Dartmouth College Statistics and History,24,Oskari Vuorio,C,29,0,5,5
Dartmouth College Statistics and History,10,Ryan Sorkin,C,31,1,3,4
Dartmouth College Statistics and History,43,Owen Desilets,D,22,0,4,4
Dartmouth College Statistics and History,95,Alex Krause,F,18,1,1,2
Dartmouth College Statistics and History,22,Trym Lokkeberg,C,31,1,0,1
Dartmouth College Statistics and History,18,Josh Waters,L,24,0,1,1
Dartmouth College Statistics and History,31,Cooper Black,G,30,0,1,1
Dartmouth College Statistics and History,1,Mikey Roberts,G,2,0,0,0
Dartmouth College Statistics and History,32,Roan Clarke,G,4,0,0,0
Dartmouth College Statistics and History,,Totals,92,159,251,293,
Ferris State University Statistics and History,23,Antonio Venuto,F,36,12,14,26
Ferris State University Statistics and History,12,Luigi Benincasa,F,33,6,16,22
Ferris State University Statistics and History,2,Travis Shoudy,D,36,4,17,21
Ferris State University Statistics and History,19,Stepan Pokorny,F,36,8,10,18
Ferris State University Statistics and History,21,Jason Brancheau,F,35,9,7,16
Ferris State University Statistics and History,18,Kaleb Ergang,R,34,6,9,15
Ferris State University Statistics and History,27,Emerson Goode,F,32,7,5,12
Ferris State University Statistics and History,25,Zachary Faremouth,F,34,6,6,12
Ferris State University Statistics and History,15,Tyler Schleppe,C,25,3,7,10
Ferris State University Statistics and History,6,Jack Mesic,D,36,2,8,10
Ferris State University Statistics and History,28,Trevor Taulien,D,27,2,6,8
Ferris State University Statistics and History,22,Nick Hale,D,34,2,6,8
Ferris State University Statistics and History,11,Jacob Dirks,F,27,3,4,7
Ferris State University Statistics and History,9,Nick Nardecchia,F,34,3,4,7
Ferris State University Statistics and History,8,Austin McCarthy,F,20,3,2,5
Ferris State University Statistics and History,16,Caiden Gault,F,19,2,3,5
Ferris State University Statistics and History,4,Drew Cooper,D,24,2,3,5
Ferris State University Statistics and History,10,Holden Doell,C,24,1,3,4
Ferris State University Statistics and History,7,Connor McGrath,C,28,1,3,4
Ferris State University Statistics and History,20,Andrew Noel,D,35,1,3,4
Ferris State University Statistics and History,3,Ben Schultheis,D,21,0,2,2
Ferris State University Statistics and History,24,Brendan Maclaren,F,27,0,2,2
Ferris State University Statistics and History,26,Jacob Badal,F,5,0,0,0
Ferris State University Statistics and History,31,Noah Giesbrecht,G,18,0,0,0
Ferris State University Statistics and History,5,Nico DeVita,D,19,0,0,0
Ferris State University Statistics and History,1,Logan Stein,G,21,0,0,0
Ferris State University Statistics and History,,Totals,83,140,223,297,
Gustavus Adolphus College Statistics and History,24,Drew Holt,F,25,7,11,18
Gustavus Adolphus College Statistics and History,16,Grant Ellings,F,25,8,8,16
Gustavus Adolphus College Statistics and History,28,Jack Suchy,F,24,8,7,15
Gustavus Adolphus College Statistics and History,22,Wilmer Svensson,C,24,7,8,15
Gustavus Adolphus College Statistics and History,4,Connor Mahony,F,24,7,5,12
Gustavus Adolphus College Statistics and History,15,Nate Stone,F,25,6,6,12
Gustavus Adolphus College Statistics and History,9,Jack Kubitz,D,25,1,11,12
Gustavus Adolphus College Statistics and History,3,Jack Anderson,D,25,3,7,10
Gustavus Adolphus College Statistics and History,8,Kylar Fenton,D,25,3,6,9
Gustavus Adolphus College Statistics and History,27,Hunter Newhouse,F,19,2,6,8
Gustavus Adolphus College Statistics and History,26,Artem Korolev,F,20,3,4,7
Gustavus Adolphus College Statistics and History,7,Jac Triemert,F,19,5,1,6
Gustavus Adolphus College Statistics and History,10,Joey Gimberlin,F,13,2,4,6
Gustavus Adolphus College Statistics and History,14,Mason Hendrickson,F,14,1,5,6
Gustavus Adolphus College Statistics and History,2,Marc Fletemeyer,F,12,5,0,5
Gustavus Adolphus College Statistics and History,19,Landon Johnson,D,19,0,4,4
Gustavus Adolphus College Statistics and History,11,Stanislav Danaev,F,19,2,1,3
Gustavus Adolphus College Statistics and History,12,Micah Gernander,F,8,1,2,3
Gustavus Adolphus College Statistics and History,18,Porter Haney,F,12,1,2,3
Gustavus Adolphus College Statistics and History,5,Luke Delzer,F,15,1,2,3
Gustavus Adolphus College Statistics and History,29,Brendan Sloth,D,10,1,1,2
Gustavus Adolphus College Statistics and History,17,Lukas Jorgensen,F,14,1,1,2
Gustavus Adolphus College Statistics and History,21,Christian Miller,D,24,0,2,2
Gustavus Adolphus College Statistics and History,20,Coby Weber,F,8,0,1,1
Gustavus Adolphus College Statistics and History,6,Thomas Patterer,D,9,0,1,1
Gustavus Adolphus College Statistics and History,1,Marko Belak,G,10,0,1,1
Gustavus Adolphus College Statistics and History,30,Jackson Hjelle,G,15,0,1,1
Gustavus Adolphus College Statistics and History,30,Zach Dosan,G,1,0,0,0
Gustavus Adolphus College Statistics and History,35,Will Pinney,G,3,0,0,0
Gustavus Adolphus College Statistics and History,13,Kyle Heffron,F,11,0,0,0
Gustavus Adolphus College Statistics and History,,Totals,75,108,183,214,
Hamilton College Statistics and History,27,Luke Tchor,F,26,13,21,34
Hamilton College Statistics and History,18,Max Bulawka,F,26,8,15,23
Hamilton College Statistics and History,16,James Philpott,D,26,3,16,19
Hamilton College Statistics and History,26,Jackson Krock,L,22,11,7,18
Hamilton College Statistics and History,11,Devon deVries,R,26,8,10,18
Hamilton College Statistics and History,25,Grisha Gotovets,F,23,8,9,17
Hamilton College Statistics and History,28,Justin Biraben,F,26,5,11,16
Hamilton College Statistics and History,23,Ben Zimmerman,F,26,5,9,14
Hamilton College Statistics and History,17,Alex Danis,C,22,7,3,10
Hamilton College Statistics and History,4,William Neault,D,24,2,6,8
Hamilton College Statistics and History,3,Noah Leibl,R,19,3,3,6
Hamilton College Statistics and History,12,Ryan Brown,C,19,2,3,5
Hamilton College Statistics and History,36,Lucas Constantine,D,19,0,5,5
Hamilton College Statistics and History,14,Logan Greene,F,25,1,3,4
Hamilton College Statistics and History,2,Jeremy Smith,D,15,0,4,4
Hamilton College Statistics and History,22,Carson Hall,F,21,0,4,4
Hamilton College Statistics and History,6,Ryan Sordillo,L,22,2,1,3
Hamilton College Statistics and History,8,Max Wutzke,D,26,2,0,2
Hamilton College Statistics and History,39,Vincent Gould,R,9,1,1,2
Hamilton College Statistics and History,24,Matthew Gellerman,F,12,1,1,2
Hamilton College Statistics and History,13,Cameron Miranda,D,22,0,2,2
Hamilton College Statistics and History,10,Nick Donaldson,F,7,0,1,1
Hamilton College Statistics and History,15,Bradley Holcomb,F,9,0,1,1
Hamilton College Statistics and History,44,Jacob Ierfino,F,14,0,1,1
Hamilton College Statistics and History,7,Thomas Beaudoin,F,1,0,0,0
Hamilton College Statistics and History,35,Joshua Nadler,G,3,0,0,0
Hamilton College Statistics and History,19,David Parker,D,3,0,0,0
Hamilton College Statistics and History,9,Brendan Waivada,F,6,0,0,0
Hamilton College Statistics and History,42,Charlie Archer,G,8,0,0,0
Hamilton College Statistics and History,34,Jack Grant,G,15,0,0,0
Hamilton College Statistics and History,,Totals,82,137,219,198,
Harvard University Statistics and History [1922-2025 NCAA],12,Joe Miller,C,32,13,14,27
Harvard University Statistics and History [1922-2025 NCAA],9,Ryan Healey,D,29,9,13,22
Harvard University Statistics and History [1922-2025 NCAA],21,Cameron Johnson,F,32,4,12,16
Harvard University Statistics and History [1922-2025 NCAA],19,Ben MacDonald,C,32,5,10,15
Harvard University Statistics and History [1922-2025 NCAA],18,Michael Callow,R,32,3,12,15
Harvard University Statistics and History [1922-2025 NCAA],29,Casey Severo,F,32,8,5,13
Harvard University Statistics and History [1922-2025 NCAA],8,Alex Gaffney,F,31,8,2,10
Harvard University Statistics and History [1922-2025 NCAA],11,Ryan Fine,C,32,5,5,10
Harvard University Statistics and History [1922-2025 NCAA],59,Zakary Karpa,C,31,4,4,8
Harvard University Statistics and History [1922-2025 NCAA],2,Ian Moore,D,21,3,5,8
Harvard University Statistics and History [1922-2025 NCAA],13,Marek Hejduk,R,32,5,2,7
Harvard University Statistics and History [1922-2025 NCAA],7,Philip Tresca,F,16,0,7,7
Harvard University Statistics and History [1922-2025 NCAA],24,Jack Bar,D,27,1,5,6
Harvard University Statistics and History [1922-2025 NCAA],22,Mason Langenbrunner,D,32,0,5,5
Harvard University Statistics and History [1922-2025 NCAA],23,Salvatore Guzzo,R,29,0,4,4
Harvard University Statistics and History [1922-2025 NCAA],26,Ryan Drkulec,F,28,1,2,3
Harvard University Statistics and History [1922-2025 NCAA],14,Matthew Morden,D,32,1,2,3
Harvard University Statistics and History [1922-2025 NCAA],33,Kyle Aucoin,D,8,0,1,1
Harvard University Statistics and History [1922-2025 NCAA],35,Derek Mullahy,G,17,0,1,1
Harvard University Statistics and History [1922-2025 NCAA],43,Christian Jimenez,D,18,0,1,1
Harvard University Statistics and History [1922-2025 NCAA],10,David Hejduk,D,22,0,1,1
Harvard University Statistics and History [1922-2025 NCAA],25,Peter Frates,D,1,0,0,0
Harvard University Statistics and History [1922-2025 NCAA],1,Max Miller,G,1,0,0,0
Harvard University Statistics and History [1922-2025 NCAA],15,Luke Khozozian,F,12,0,0,0
Harvard University Statistics and History [1922-2025 NCAA],30,Aku Koskenvuo,G,17,0,0,0
Harvard University Statistics and History [1922-2025 NCAA],20,Tommy Lyons,F,29,0,0,0
Harvard University Statistics and History [1922-2025 NCAA],,Totals,70,113,183,224,
Lake Forest College Statistics and History,11,Chase Freiermuth,F,25,14,12,26
Lake Forest College Statistics and History,14,Logan Kittleson,F,25,6,18,24
Lake Forest College Statistics and History,44,Griffen Sanom,C,23,8,11,19
Lake Forest College Statistics and History,10,Jared Gerger,F,25,7,7,14
Lake Forest College Statistics and History,5,Matteas Derraugh,D,18,2,12,14
Lake Forest College Statistics and History,21,Tyler Nielsen,C,25,9,3,12
Lake Forest College Statistics and History,9,Justin Ross,F,25,2,10,12
Lake Forest College Statistics and History,16,Colin Bella,F,24,8,3,11
Lake Forest College Statistics and History,4,Ryan Antonakis,D,20,2,9,11
Lake Forest College Statistics and History,24,Connor Sullivan,D,24,1,10,11
Lake Forest College Statistics and History,3,Connor Scahill,D,18,4,6,10
Lake Forest College Statistics and History,15,Tyler Buonopane,F,22,1,8,9
Lake Forest College Statistics and History,27,Connor Tartaglione,C,22,3,4,7
Lake Forest College Statistics and History,7,Ben Perkins,F,23,1,5,6
Lake Forest College Statistics and History,2,Fabrizio Mazzarelli,D,23,2,3,5
Lake Forest College Statistics and History,20,Philip Quetell,R,17,1,3,4
Lake Forest College Statistics and History,6,Jared Kaplowitz,D,24,0,4,4
Lake Forest College Statistics and History,8,Hayden Riva,F,18,3,0,3
Lake Forest College Statistics and History,13,Donald Borgula,R,8,0,2,2
Lake Forest College Statistics and History,26,Hardy Wagner,D,13,0,2,2
Lake Forest College Statistics and History,55,Andrew Kimball,L,10,1,0,1
Lake Forest College Statistics and History,29,Shane Hathaway,F,2,0,1,1
Lake Forest College Statistics and History,31,Alex Rohlf,G,1,0,0,0
Lake Forest College Statistics and History,19,Joshua Norman,F,2,0,0,0
Lake Forest College Statistics and History,1,Kohl Reddy,G,6,0,0,0
Lake Forest College Statistics and History,30,Dylan Kruss,G,8,0,0,0
Lake Forest College Statistics and History,17,Qaritag Kusugak-Clark,R,8,0,0,0
Lake Forest College Statistics and History,23,Seth Orozco,D,10,0,0,0
Lake Forest College Statistics and History,35,Bobby McCloskey,G,13,0,0,0
Lake Forest College Statistics and History,25,Andrew Nieusma,D,16,0,0,0
Lake Forest College Statistics and History,,Totals,75,133,208,318,
Lawrence University Statistics and History,91,Ethan Beaumont,L,27,6,14,20
Lawrence University Statistics and History,6,Cole Schneider,F,25,7,12,19
Lawrence University Statistics and History,16,Jack Michels,L,25,9,9,18
Lawrence University Statistics and History,72,Miles McCue,C,27,8,9,17
Lawrence University Statistics and History,11,Cory Checco,F,25,7,10,17
Lawrence University Statistics and History,15,Carter Cloutier,F,21,6,9,15
Lawrence University Statistics and History,2,Jayden Jensen,D,27,4,8,12
Lawrence University Statistics and History,18,Kyle Gierman,D,24,3,9,12
Lawrence University Statistics and History,40,Cody Brekke,R,27,5,5,10
Lawrence University Statistics and History,13,P.J. Noonan,C,19,1,7,8
Lawrence University Statistics and History,17,Robby Pustulka,R,17,3,4,7
Lawrence University Statistics and History,4,Jacob Jakusz,D,21,1,6,7
Lawrence University Statistics and History,23,Adam Brzezicki,R,18,4,1,5
Lawrence University Statistics and History,27,Oliver DeCroock,F,27,2,2,4
Lawrence University Statistics and History,5,Jeb Dee,D,23,1,3,4
Lawrence University Statistics and History,14,Will Crull,D,10,1,2,3
Lawrence University Statistics and History,22,Evan Izenstark,D,15,1,2,3
Lawrence University Statistics and History,10,Hugh Anderson,D,22,1,2,3
Lawrence University Statistics and History,8,Akhmed Malsagov,F,21,0,3,3
Lawrence University Statistics and History,12,Max Breon,F,13,1,1,2
Lawrence University Statistics and History,9,Brendan Vettraino,C,16,1,1,2
Lawrence University Statistics and History,21,Cristian Tallarico,D,10,0,2,2
Lawrence University Statistics and History,29,Jordan Cooper,F,15,0,2,2
Lawrence University Statistics and History,19,Max Wigfield,F,14,1,0,1
Lawrence University Statistics and History,26,Matt Ernst,D,2,0,0,0
Lawrence University Statistics and History,30,Ken Turelli,G,2,0,0,0
Lawrence University Statistics and History,7,Adam Zukowski,F,2,0,0,0
Lawrence University Statistics and History,20,Ryan Williams,F,3,0,0,0
Lawrence University Statistics and History,28,Dylan Marty,L,9,0,0,0
Lawrence University Statistics and History,33,Owen Carlson,G,11,0,0,0
Lawrence University Statistics and History,35,Nolan Mahaffey,G,21,0,0,0
Lawrence University Statistics and History,,Totals,73,123,196,382,
Lindenwood University Statistics and History [NCAA],19,Caige Sterzer,F,28,8,14,22
Lindenwood University Statistics and History [NCAA],8,Kyle Jeffers,F,26,9,8,17
Lindenwood University Statistics and History [NCAA],27,David Gagnon,F,28,8,8,16
Lindenwood University Statistics and History [NCAA],21,Jake Southgate,L,28,7,9,16
Lindenwood University Statistics and History [NCAA],12,Ethan Zielke,C,28,7,8,15
Lindenwood University Statistics and History [NCAA],11,Jaeden Mercier,R,28,3,8,11
Lindenwood University Statistics and History [NCAA],28,Kabore Dunn,D,23,0,11,11
Lindenwood University Statistics and History [NCAA],5,Aiden Yakimchuk,D,16,5,5,10
Lindenwood University Statistics and History [NCAA],9,Drew Kuzma,C,25,4,6,10
Lindenwood University Statistics and History [NCAA],16,Caleb Price,D,27,4,6,10
Lindenwood University Statistics and History [NCAA],13,Zach Aughe,F,28,3,7,10
Lindenwood University Statistics and History [NCAA],24,Adam Conquest,F,27,3,5,8
Lindenwood University Statistics and History [NCAA],10,Mitchell Allard,F,27,3,4,7
Lindenwood University Statistics and History [NCAA],15,Joe Prouty,D,28,0,6,6
Lindenwood University Statistics and History [NCAA],17,Patrick Schmiedlin,C,24,2,3,5
Lindenwood University Statistics and History [NCAA],18,Jack Anderson,D,28,1,4,5
Lindenwood University Statistics and History [NCAA],6,Cade Destefani,F,9,2,2,4
Lindenwood University Statistics and History [NCAA],25,Austin Fraser,R,24,2,2,4
Lindenwood University Statistics and History [NCAA],3,Kieran Ruscheinski,D,17,1,3,4
Lindenwood University Statistics and History [NCAA],14,Coltan Wilkie,D,17,1,3,4
Lindenwood University Statistics and History [NCAA],22,Brenden Rons,D,27,0,3,3
Lindenwood University Statistics and History [NCAA],23,Shane LaVelle,F,7,1,0,1
Lindenwood University Statistics and History [NCAA],31,Matthew Syverson,G,8,0,0,0
Lindenwood University Statistics and History [NCAA],1,Trent Burnham,G,27,0,0,0
Lindenwood University Statistics and History [NCAA],,Totals,74,125,199,491,
Long Island University Statistics and History [NCAA],8,Isaiah Fox,F,37,14,21,35
Long Island University Statistics and History [NCAA],13,Josh Zary,F,35,20,14,34
Long Island University Statistics and History [NCAA],11,Chris Pappas,F,34,11,20,31
Long Island University Statistics and History [NCAA],44,Noah Kane,F,33,8,22,30
Long Island University Statistics and History [NCAA],6,Cade Mason,D,34,2,27,29
Long Island University Statistics and History [NCAA],27,Remy Parker,F,35,13,6,19
Long Island University Statistics and History [NCAA],15,Grayson Constable,R,37,9,9,18
Long Island University Statistics and History [NCAA],21,Austin Brimmer,F,32,7,8,15
Long Island University Statistics and History [NCAA],17,Nolan Welsh,R,32,6,9,15
Long Island University Statistics and History [NCAA],12,Zack Nazzarett,F,19,3,9,12
Long Island University Statistics and History [NCAA],5,Valtteri Piironen,D,31,3,9,12
Long Island University Statistics and History [NCAA],20,Adam Pitters,F,31,4,5,9
Long Island University Statistics and History [NCAA],19,Jack Quinn,L,34,2,6,8
Long Island University Statistics and History [NCAA],25,Preston Brodziak,C,29,3,4,7
Long Island University Statistics and History [NCAA],7,Jordan Di Cicco,D,33,2,5,7
Long Island University Statistics and History [NCAA],23,Aaron Grounds,F,13,2,2,4
Long Island University Statistics and History [NCAA],22,Riley Wallack,F,30,2,2,4
Long Island University Statistics and History [NCAA],24,John Gormley,D,37,1,3,4
Long Island University Statistics and History [NCAA],28,Garrett Valk,D,36,2,1,3
Long Island University Statistics and History [NCAA],16,Xan Gurney,D,13,1,2,3
Long Island University Statistics and History [NCAA],2,Peter Muzyka,D,35,0,3,3
Long Island University Statistics and History [NCAA],10,Heath Armstrong,F,9,0,1,1
Long Island University Statistics and History [NCAA],3,A.J. Casperson,D,12,0,1,1
Long Island University Statistics and History [NCAA],35,Brandon Perrone,G,25,0,1,1
Long Island University Statistics and History [NCAA],14,Luke Strickland,L,1,0,0,0
Long Island University Statistics and History [NCAA],4,Atte Lehikoinen,D,7,0,0,0
Long Island University Statistics and History [NCAA],31,Noah Rupprecht,G,8,0,0,0
Long Island University Statistics and History [NCAA],18,Kade Peterson,F,9,0,0,0
Long Island University Statistics and History [NCAA],33,Rico Dimatteo,G,9,0,0,0
Long Island University Statistics and History [NCAA],9,Daniel Baldassarra,F,9,0,0,0
Long Island University Statistics and History [NCAA],,Totals,115,190,305,519,
Minnesota State U - Mankato Statistics and History,6,Sam Morton,F,37,24,10,34
Minnesota State U - Mankato Statistics and History,21,Lucas Sowder,F,33,13,15,28
Minnesota State U - Mankato Statistics and History,10,Evan Murr,D,37,6,20,26
Minnesota State U - Mankato Statistics and History,15,Adam Eisele,F,37,8,15,23
Minnesota State U - Mankato Statistics and History,28,Brian Carrabes,C,36,10,12,22
Minnesota State U - Mankato Statistics and History,26,Kaden Bohlsen,C,37,11,10,21
Minnesota State U - Mankato Statistics and History,12,Josh Groll,F,34,7,13,20
Minnesota State U - Mankato Statistics and History,7,Luc Wilson,L,36,7,12,19
Minnesota State U - Mankato Statistics and History,3,Brandon Koch,D,34,1,13,14
Minnesota State U - Mankato Statistics and History,22,Steven Bellini,D,31,3,8,11
Minnesota State U - Mankato Statistics and History,23,Jordan Steinmetz,F,32,2,9,11
Minnesota State U - Mankato Statistics and History,4,Brett Moravec,C,27,4,4,8
Minnesota State U - Mankato Statistics and History,24,Zach Krajnik,F,27,1,6,7
Minnesota State U - Mankato Statistics and History,13,Jordan Power,D,31,1,6,7
Minnesota State U - Mankato Statistics and History,11,Tyler Haskins,L,18,4,2,6
Minnesota State U - Mankato Statistics and History,19,Will Hillman,F,36,2,3,5
Minnesota State U - Mankato Statistics and History,5,Mason Wheeler,D,37,1,4,5
Minnesota State U - Mankato Statistics and History,25,Brenden Olson,F,23,3,1,4
Minnesota State U - Mankato Statistics and History,20,Connor Gregga,F,28,2,2,4
Minnesota State U - Mankato Statistics and History,8,Campbell Cichosz,D,36,1,3,4
Minnesota State U - Mankato Statistics and History,27,Tony Malinowski,D,13,0,4,4
Minnesota State U - Mankato Statistics and History,18,Jakob Stender,D,27,0,4,4
Minnesota State U - Mankato Statistics and History,33,Alex Tracy,G,28,0,1,1
Minnesota State U - Mankato Statistics and History,32,Andrew Miller,G,1,0,0,0
Minnesota State U - Mankato Statistics and History,9,Tanner Edwards,F,5,0,0,0
Minnesota State U - Mankato Statistics and History,14,Kade Nielsen,F,8,0,0,0
Minnesota State U - Mankato Statistics and History,35,Keenan Rancier,G,12,0,0,0
Minnesota State U - Mankato Statistics and History,,Totals,111,177,288,299,
Merrimack College Statistics and History,21,Matt Copponi,C,30,7,25,32
Merrimack College Statistics and History,37,Zach Bookman,D,33,4,24,28
Merrimack College Statistics and History,19,Alex Jefferies,L,22,13,10,23
Merrimack College Statistics and History,43,Ty Daneault,R,34,13,8,21
Merrimack College Statistics and History,10,Mark Hillier,L,35,7,12,19
Merrimack College Statistics and History,18,Ben Brar,F,35,5,14,19
Merrimack College Statistics and History,28,Filip Forsmark,L,35,5,13,18
Merrimack College Statistics and History,22,Michael Citara,F,31,6,9,15
Merrimack College Statistics and History,17,"Robert ""Mac"" Welsher",C,30,4,9,13
Merrimack College Statistics and History,23,Frank Djurasevic,D,35,4,6,10
Merrimack College Statistics and History,20,Ethan Bono,C,29,6,3,9
